Alpha Gain,Alpha Loss,Beta,Gamma,propA,propC
0.0,0.0,0.5,1.0,0.49470000000000014,0.49529999999999996
0.0,0.025,0.5,1.0,0.49779999999999996,0.4922000000000004
0.0,0.05,0.5,1.0,0.4901999999999999,0.49979999999999997
0.0,0.075,0.5,1.0,0.48729999999999996,0.5027
0.0,0.1,0.5,1.0,0.4998999999999998,0.4900999999999998
0.0,0.125,0.5,1.0,0.4988999999999998,0.49109999999999976
0.0,0.15,0.5,1.0,0.49579999999999996,0.4942
0.0,0.175,0.5,1.0,0.4964000000000002,0.49360000000000015
0.0,0.2,0.5,1.0,0.4942000000000001,0.4957999999999998
0.0,0.225,0.5,1.0,0.4957999999999999,0.49419999999999975
0.0,0.25,0.5,1.0,0.5002,0.48979999999999974
0.0,0.275,0.5,1.0,0.48140000000000027,0.5085999999999999
0.0,0.3,0.5,1.0,0.49390000000000006,0.4961
0.0,0.325,0.5,1.0,0.4858000000000001,0.5042
0.0,0.35,0.5,1.0,0.48280000000000023,0.5072000000000001
0.0,0.375,0.5,1.0,0.5012000000000001,0.4888000000000001
0.0,0.4,0.5,1.0,0.48649999999999993,0.5034999999999998
0.0,0.425,0.5,1.0,0.49450000000000016,0.49550000000000016
0.0,0.45,0.5,1.0,0.49639999999999995,0.4935999999999999
0.0,0.475,0.5,1.0,0.47979999999999995,0.5101999999999999
0.025,0.0,0.5,1.0,0.7678,0.22219999999999995
0.025,0.025,0.5,1.0,0.45929999999999976,0.5307000000000002
0.025,0.05,0.5,1.0,0.44580000000000025,0.5441999999999999
0.025,0.075,0.5,1.0,0.4466999999999998,0.5433000000000003
0.025,0.1,0.5,1.0,0.4582,0.5317999999999998
0.025,0.125,0.5,1.0,0.4650999999999999,0.5248999999999996
0.025,0.15,0.5,1.0,0.4708999999999999,0.5191000000000002
0.025,0.175,0.5,1.0,0.45350000000000007,0.5365000000000001
0.025,0.2,0.5,1.0,0.45099999999999985,0.5390000000000001
0.025,0.225,0.5,1.0,0.461,0.529
0.025,0.25,0.5,1.0,0.47619999999999985,0.5138
0.025,0.275,0.5,1.0,0.46390000000000015,0.5261000000000002
0.025,0.3,0.5,1.0,0.47370000000000007,0.5163
0.025,0.325,0.5,1.0,0.4855000000000001,0.5044999999999997
0.025,0.35,0.5,1.0,0.4713999999999999,0.5186
0.025,0.375,0.5,1.0,0.48100000000000004,0.5089999999999999
0.025,0.4,0.5,1.0,0.4668999999999999,0.5231000000000001
0.025,0.425,0.5,1.0,0.4783,0.5117
0.025,0.45,0.5,1.0,0.4870999999999999,0.5029
0.025,0.475,0.5,1.0,0.45880000000000015,0.5312
0.05,0.0,0.5,1.0,0.7675999999999997,0.22240000000000001
0.05,0.025,0.5,1.0,0.4856999999999998,0.5043
0.05,0.05,0.5,1.0,0.4244,0.5656000000000002
0.05,0.075,0.5,1.0,0.43879999999999997,0.5512
0.05,0.1,0.5,1.0,0.4423000000000002,0.5477000000000001
0.05,0.125,0.5,1.0,0.4317,0.5583
0.05,0.15,0.5,1.0,0.4302000000000001,0.5598000000000001
0.05,0.175,0.5,1.0,0.4262999999999999,0.5637000000000003
0.05,0.2,0.5,1.0,0.4343,0.5557000000000001
0.05,0.225,0.5,1.0,0.4479000000000001,0.5420999999999999
0.05,0.25,0.5,1.0,0.44959999999999967,0.5404
0.05,0.275,0.5,1.0,0.46020000000000016,0.5298000000000002
0.05,0.3,0.5,1.0,0.4311,0.5589
0.05,0.325,0.5,1.0,0.44329999999999997,0.5467
0.05,0.35,0.5,1.0,0.4393000000000001,0.5507000000000001
0.05,0.375,0.5,1.0,0.45620000000000005,0.5338000000000003
0.05,0.4,0.5,1.0,0.4653000000000001,0.5246999999999999
0.05,0.425,0.5,1.0,0.47919999999999996,0.5108000000000001
0.05,0.45,0.5,1.0,0.4465999999999999,0.5434000000000001
0.05,0.475,0.5,1.0,0.4665999999999999,0.5233999999999999
0.075,0.0,0.5,1.0,0.6906999999999998,0.29930000000000007
0.075,0.025,0.5,1.0,0.45490000000000014,0.5350999999999999
0.075,0.05,0.5,1.0,0.4345999999999999,0.5553999999999998
0.075,0.075,0.5,1.0,0.424,0.5660000000000001
0.075,0.1,0.5,1.0,0.4225000000000001,0.5675000000000002
0.075,0.125,0.5,1.0,0.39280000000000004,0.5972000000000002
0.075,0.15,0.5,1.0,0.439,0.551
0.075,0.175,0.5,1.0,0.4228999999999998,0.5670999999999999
0.075,0.2,0.5,1.0,0.40689999999999993,0.5830999999999996
0.075,0.225,0.5,1.0,0.4515,0.5385000000000002
0.075,0.25,0.5,1.0,0.44029999999999986,0.5497000000000001
0.075,0.275,0.5,1.0,0.45519999999999994,0.5348000000000003
0.075,0.3,0.5,1.0,0.4769000000000001,0.5131
0.075,0.325,0.5,1.0,0.46520000000000006,0.5247999999999997
0.075,0.35,0.5,1.0,0.44540000000000013,0.5446000000000001
0.075,0.375,0.5,1.0,0.44999999999999984,0.5399999999999997
0.075,0.4,0.5,1.0,0.46480000000000005,0.5252
0.075,0.425,0.5,1.0,0.48419999999999996,0.5057999999999999
0.075,0.45,0.5,1.0,0.43479999999999996,0.5551999999999999
0.075,0.475,0.5,1.0,0.4566999999999999,0.5332999999999999
0.1,0.0,0.5,1.0,0.6676000000000001,0.3224
0.1,0.025,0.5,1.0,0.4234999999999999,0.5665
0.1,0.05,0.5,1.0,0.43780000000000013,0.5522000000000001
0.1,0.075,0.5,1.0,0.4107,0.5793
0.1,0.1,0.5,1.0,0.4145000000000001,0.5755000000000002
0.1,0.125,0.5,1.0,0.4250999999999999,0.5649
0.1,0.15,0.5,1.0,0.4346,0.5554
0.1,0.175,0.5,1.0,0.41600000000000015,0.574
0.1,0.2,0.5,1.0,0.43290000000000006,0.5571
0.1,0.225,0.5,1.0,0.44549999999999995,0.5444999999999999
0.1,0.25,0.5,1.0,0.4396,0.5504
0.1,0.275,0.5,1.0,0.4307,0.5593
0.1,0.3,0.5,1.0,0.4493999999999999,0.5406000000000002
0.1,0.325,0.5,1.0,0.4494,0.5406000000000002
0.1,0.35,0.5,1.0,0.4700999999999999,0.5198999999999999
0.1,0.375,0.5,1.0,0.45899999999999996,0.531
0.1,0.4,0.5,1.0,0.46800000000000014,0.5219999999999997
0.1,0.425,0.5,1.0,0.47309999999999997,0.5169000000000002
0.1,0.45,0.5,1.0,0.469,0.5209999999999997
0.1,0.475,0.5,1.0,0.47780000000000006,0.5121999999999999
0.125,0.0,0.5,1.0,0.5990000000000001,0.391
0.125,0.025,0.5,1.0,0.39679999999999965,0.5932
0.125,0.05,0.5,1.0,0.4181000000000003,0.5719000000000001
0.125,0.075,0.5,1.0,0.3859,0.6041000000000002
0.125,0.1,0.5,1.0,0.43879999999999997,0.5512
0.125,0.125,0.5,1.0,0.41960000000000014,0.5704
0.125,0.15,0.5,1.0,0.43320000000000014,0.5568
0.125,0.175,0.5,1.0,0.44240000000000007,0.5476000000000004
0.125,0.2,0.5,1.0,0.4245999999999999,0.5653999999999999
0.125,0.225,0.5,1.0,0.4381000000000001,0.5519000000000003
0.125,0.25,0.5,1.0,0.4465,0.5435
0.125,0.275,0.5,1.0,0.4292000000000003,0.5608
0.125,0.3,0.5,1.0,0.4515,0.5384999999999999
0.125,0.325,0.5,1.0,0.46130000000000015,0.5287000000000002
0.125,0.35,0.5,1.0,0.4477000000000001,0.5422999999999999
0.125,0.375,0.5,1.0,0.4276999999999999,0.5623
0.125,0.4,0.5,1.0,0.46070000000000005,0.5293
0.125,0.425,0.5,1.0,0.4821000000000001,0.5079000000000002
0.125,0.45,0.5,1.0,0.44449999999999995,0.5455000000000001
0.125,0.475,0.5,1.0,0.44849999999999995,0.5415
0.15,0.0,0.5,1.0,0.6395000000000001,0.3504999999999999
0.15,0.025,0.5,1.0,0.3479,0.6421000000000001
0.15,0.05,0.5,1.0,0.41730000000000017,0.5727000000000001
0.15,0.075,0.5,1.0,0.40630000000000005,0.5837000000000001
0.15,0.1,0.5,1.0,0.41979999999999973,0.5702
0.15,0.125,0.5,1.0,0.4439000000000001,0.5461
0.15,0.15,0.5,1.0,0.4545000000000001,0.5354999999999999
0.15,0.175,0.5,1.0,0.4087000000000001,0.5813000000000001
0.15,0.2,0.5,1.0,0.4382999999999999,0.5517000000000002
0.15,0.225,0.5,1.0,0.43920000000000003,0.5508
0.15,0.25,0.5,1.0,0.42750000000000027,0.5625000000000002
0.15,0.275,0.5,1.0,0.47949999999999987,0.5104999999999997
0.15,0.3,0.5,1.0,0.4077,0.5823
0.15,0.325,0.5,1.0,0.45659999999999995,0.5333999999999999
0.15,0.35,0.5,1.0,0.4432000000000001,0.5467999999999998
0.15,0.375,0.5,1.0,0.4708,0.5191999999999998
0.15,0.4,0.5,1.0,0.46120000000000005,0.5288
0.15,0.425,0.5,1.0,0.4719000000000003,0.5181000000000001
0.15,0.45,0.5,1.0,0.4443000000000001,0.5457000000000001
0.15,0.475,0.5,1.0,0.49570000000000014,0.4942999999999999
0.175,0.0,0.5,1.0,0.5533,0.4366999999999999
0.175,0.025,0.5,1.0,0.36389999999999995,0.6260999999999999
0.175,0.05,0.5,1.0,0.3719000000000001,0.6181
0.175,0.075,0.5,1.0,0.3859,0.6041000000000002
0.175,0.1,0.5,1.0,0.3917,0.5983
0.175,0.125,0.5,1.0,0.42659999999999976,0.5633999999999998
0.175,0.15,0.5,1.0,0.3997,0.5903
0.175,0.175,0.5,1.0,0.40540000000000004,0.5846000000000001
0.175,0.2,0.5,1.0,0.4399999999999998,0.5499999999999998
0.175,0.225,0.5,1.0,0.42410000000000025,0.5659000000000001
0.175,0.25,0.5,1.0,0.45990000000000003,0.5300999999999999
0.175,0.275,0.5,1.0,0.45089999999999997,0.5390999999999997
0.175,0.3,0.5,1.0,0.44660000000000005,0.5433999999999999
0.175,0.325,0.5,1.0,0.4472,0.5428000000000002
0.175,0.35,0.5,1.0,0.451,0.539
0.175,0.375,0.5,1.0,0.4335000000000003,0.5564999999999999
0.175,0.4,0.5,1.0,0.48559999999999987,0.5044
0.175,0.425,0.5,1.0,0.45570000000000005,0.5342999999999999
0.175,0.45,0.5,1.0,0.45400000000000007,0.5359999999999997
0.175,0.475,0.5,1.0,0.4700000000000003,0.5200000000000001
0.2,0.0,0.5,1.0,0.5252999999999998,0.46470000000000006
0.2,0.025,0.5,1.0,0.4155,0.5745
0.2,0.05,0.5,1.0,0.3672000000000001,0.6228
0.2,0.075,0.5,1.0,0.36979999999999996,0.6202000000000002
0.2,0.1,0.5,1.0,0.3953,0.5947000000000002
0.2,0.125,0.5,1.0,0.3730000000000001,0.6170000000000001
0.2,0.15,0.5,1.0,0.4182,0.5718
0.2,0.175,0.5,1.0,0.43860000000000016,0.5514
0.2,0.2,0.5,1.0,0.4359999999999998,0.5539999999999998
0.2,0.225,0.5,1.0,0.4050000000000001,0.585
0.2,0.25,0.5,1.0,0.43599999999999994,0.5539999999999999
0.2,0.275,0.5,1.0,0.43360000000000015,0.5564000000000001
0.2,0.3,0.5,1.0,0.45240000000000014,0.5375999999999997
0.2,0.325,0.5,1.0,0.45939999999999975,0.5306
0.2,0.35,0.5,1.0,0.46159999999999995,0.5284000000000001
0.2,0.375,0.5,1.0,0.45409999999999995,0.5358999999999998
0.2,0.4,0.5,1.0,0.4712000000000003,0.5188000000000003
0.2,0.425,0.5,1.0,0.4521,0.5378999999999998
0.2,0.45,0.5,1.0,0.46780000000000016,0.5221999999999999
0.2,0.475,0.5,1.0,0.46389999999999987,0.5260999999999999
0.225,0.0,0.5,1.0,0.5698000000000002,0.42019999999999996
0.225,0.025,0.5,1.0,0.3363999999999999,0.6536000000000002
0.225,0.05,0.5,1.0,0.3469000000000001,0.6431000000000003
0.225,0.075,0.5,1.0,0.3671999999999999,0.6228
0.225,0.1,0.5,1.0,0.4138,0.5761999999999998
0.225,0.125,0.5,1.0,0.4275999999999998,0.5624000000000001
0.225,0.15,0.5,1.0,0.40619999999999995,0.5838
0.225,0.175,0.5,1.0,0.44749999999999995,0.5425000000000001
0.225,0.2,0.5,1.0,0.4179999999999999,0.5720000000000001
0.225,0.225,0.5,1.0,0.4335000000000001,0.5564999999999998
0.225,0.25,0.5,1.0,0.4495000000000002,0.5405000000000002
0.225,0.275,0.5,1.0,0.4622000000000002,0.5278000000000002
0.225,0.3,0.5,1.0,0.4847999999999999,0.5051999999999999
0.225,0.325,0.5,1.0,0.48190000000000033,0.5081000000000002
0.225,0.35,0.5,1.0,0.4655999999999999,0.5243999999999998
0.225,0.375,0.5,1.0,0.46819999999999984,0.5218
0.225,0.4,0.5,1.0,0.46380000000000005,0.5262000000000001
0.225,0.425,0.5,1.0,0.45910000000000023,0.5308999999999999
0.225,0.45,0.5,1.0,0.43090000000000006,0.5591000000000002
0.225,0.475,0.5,1.0,0.48180000000000006,0.5081999999999999
0.25,0.0,0.5,1.0,0.49559999999999993,0.4943999999999999
0.25,0.025,0.5,1.0,0.3290999999999999,0.6609000000000002
0.25,0.05,0.5,1.0,0.3291000000000001,0.6608999999999999
0.25,0.075,0.5,1.0,0.3798000000000002,0.6102
0.25,0.1,0.5,1.0,0.39699999999999996,0.593
0.25,0.125,0.5,1.0,0.4082000000000001,0.5817999999999999
0.25,0.15,0.5,1.0,0.41989999999999994,0.5701000000000003
0.25,0.175,0.5,1.0,0.37310000000000004,0.6168999999999999
0.25,0.2,0.5,1.0,0.4215,0.5685000000000002
0.25,0.225,0.5,1.0,0.4319000000000001,0.5581000000000003
0.25,0.25,0.5,1.0,0.4545,0.5354999999999998
0.25,0.275,0.5,1.0,0.44139999999999996,0.5486000000000001
0.25,0.3,0.5,1.0,0.44309999999999994,0.5468999999999999
0.25,0.325,0.5,1.0,0.4830000000000001,0.507
0.25,0.35,0.5,1.0,0.46349999999999986,0.5264999999999997
0.25,0.375,0.5,1.0,0.46099999999999963,0.5289999999999998
0.25,0.4,0.5,1.0,0.46950000000000003,0.5205000000000001
0.25,0.425,0.5,1.0,0.49729999999999963,0.49269999999999997
0.25,0.45,0.5,1.0,0.45560000000000017,0.5344000000000001
0.25,0.475,0.5,1.0,0.45820000000000005,0.5317999999999998
0.275,0.0,0.5,1.0,0.5732000000000002,0.41679999999999995
0.275,0.025,0.5,1.0,0.36939999999999995,0.6205999999999999
0.275,0.05,0.5,1.0,0.29460000000000003,0.6954
0.275,0.075,0.5,1.0,0.3554999999999998,0.6345000000000001
0.275,0.1,0.5,1.0,0.4179999999999999,0.5719999999999998
0.275,0.125,0.5,1.0,0.3997000000000001,0.5903
0.275,0.15,0.5,1.0,0.4393999999999999,0.5506000000000002
0.275,0.175,0.5,1.0,0.4432000000000001,0.5468
0.275,0.2,0.5,1.0,0.43230000000000013,0.5577000000000001
0.275,0.225,0.5,1.0,0.42039999999999983,0.5695999999999999
0.275,0.25,0.5,1.0,0.43529999999999985,0.5547000000000002
0.275,0.275,0.5,1.0,0.42700000000000027,0.5630000000000002
0.275,0.3,0.5,1.0,0.41910000000000003,0.5708999999999997
0.275,0.325,0.5,1.0,0.4722000000000002,0.5178000000000003
0.275,0.35,0.5,1.0,0.4445000000000002,0.5455000000000001
0.275,0.375,0.5,1.0,0.4467000000000001,0.5433
0.275,0.4,0.5,1.0,0.4526,0.5374
0.275,0.425,0.5,1.0,0.46400000000000013,0.5259999999999999
0.275,0.45,0.5,1.0,0.45959999999999984,0.5304000000000001
0.275,0.475,0.5,1.0,0.5067,0.4833
0.3,0.0,0.5,1.0,0.5234999999999999,0.46649999999999986
0.3,0.025,0.5,1.0,0.3979,0.5921
0.3,0.05,0.5,1.0,0.3499999999999998,0.6400000000000002
0.3,0.075,0.5,1.0,0.3311,0.6588999999999996
0.3,0.1,0.5,1.0,0.3629999999999999,0.627
0.3,0.125,0.5,1.0,0.4056999999999998,0.5843
0.3,0.15,0.5,1.0,0.4037999999999999,0.5862000000000003
0.3,0.175,0.5,1.0,0.418,0.5720000000000001
0.3,0.2,0.5,1.0,0.424,0.5659999999999997
0.3,0.225,0.5,1.0,0.42599999999999993,0.5640000000000003
0.3,0.25,0.5,1.0,0.45610000000000006,0.5339000000000002
0.3,0.275,0.5,1.0,0.44069999999999987,0.5492999999999997
0.3,0.3,0.5,1.0,0.4298999999999998,0.5601
0.3,0.325,0.5,1.0,0.44170000000000004,0.5482999999999999
0.3,0.35,0.5,1.0,0.44319999999999987,0.5468000000000002
0.3,0.375,0.5,1.0,0.4446,0.5453999999999999
0.3,0.4,0.5,1.0,0.47669999999999996,0.5133000000000001
0.3,0.425,0.5,1.0,0.46969999999999984,0.5203000000000003
0.3,0.45,0.5,1.0,0.46719999999999984,0.5228
0.3,0.475,0.5,1.0,0.48699999999999993,0.503
0.325,0.0,0.5,1.0,0.4660000000000001,0.524
0.325,0.025,0.5,1.0,0.37149999999999994,0.6185
0.325,0.05,0.5,1.0,0.25410000000000005,0.7358999999999999
0.325,0.075,0.5,1.0,0.34820000000000023,0.6418
0.325,0.1,0.5,1.0,0.36729999999999985,0.6226999999999998
0.325,0.125,0.5,1.0,0.41720000000000007,0.5728000000000001
0.325,0.15,0.5,1.0,0.43509999999999993,0.5549000000000001
0.325,0.175,0.5,1.0,0.39830000000000004,0.5917000000000001
0.325,0.2,0.5,1.0,0.4639,0.5260999999999999
0.325,0.225,0.5,1.0,0.4237,0.5663
0.325,0.25,0.5,1.0,0.44719999999999993,0.5428
0.325,0.275,0.5,1.0,0.4527000000000001,0.5373
0.325,0.3,0.5,1.0,0.4492000000000003,0.5408000000000001
0.325,0.325,0.5,1.0,0.5049999999999998,0.48500000000000026
0.325,0.35,0.5,1.0,0.44049999999999995,0.5495
0.325,0.375,0.5,1.0,0.45720000000000005,0.5328000000000003
0.325,0.4,0.5,1.0,0.4907,0.4992999999999999
0.325,0.425,0.5,1.0,0.4840999999999998,0.5058999999999998
0.325,0.45,0.5,1.0,0.48169999999999996,0.5083000000000001
0.325,0.475,0.5,1.0,0.4818999999999999,0.5081
0.35,0.0,0.5,1.0,0.47650000000000037,0.5135000000000003
0.35,0.025,0.5,1.0,0.3474000000000001,0.6426000000000001
0.35,0.05,0.5,1.0,0.3264999999999999,0.6635000000000002
0.35,0.075,0.5,1.0,0.33760000000000007,0.6524
0.35,0.1,0.5,1.0,0.3604999999999999,0.6295000000000001
0.35,0.125,0.5,1.0,0.38509999999999983,0.6049
0.35,0.15,0.5,1.0,0.4134999999999999,0.5764999999999998
0.35,0.175,0.5,1.0,0.3922,0.5978000000000001
0.35,0.2,0.5,1.0,0.4145,0.5755
0.35,0.225,0.5,1.0,0.4330999999999999,0.5569
0.35,0.25,0.5,1.0,0.4368999999999999,0.5531
0.35,0.275,0.5,1.0,0.44909999999999994,0.5409000000000002
0.35,0.3,0.5,1.0,0.4511999999999999,0.5388000000000001
0.35,0.325,0.5,1.0,0.4533000000000002,0.5367
0.35,0.35,0.5,1.0,0.48789999999999994,0.5021
0.35,0.375,0.5,1.0,0.45069999999999993,0.5393
0.35,0.4,0.5,1.0,0.45380000000000015,0.5361999999999999
0.35,0.425,0.5,1.0,0.44689999999999985,0.5430999999999999
0.35,0.45,0.5,1.0,0.5205000000000001,0.46950000000000003
0.35,0.475,0.5,1.0,0.4798999999999998,0.5101000000000002
0.375,0.0,0.5,1.0,0.4954000000000001,0.49459999999999993
0.375,0.025,0.5,1.0,0.3097999999999999,0.6801999999999998
0.375,0.05,0.5,1.0,0.3313000000000001,0.6586999999999997
0.375,0.075,0.5,1.0,0.35220000000000007,0.6378
0.375,0.1,0.5,1.0,0.3740000000000003,0.6159999999999999
0.375,0.125,0.5,1.0,0.366,0.6240000000000001
0.375,0.15,0.5,1.0,0.3985999999999999,0.5914
0.375,0.175,0.5,1.0,0.4075,0.5824999999999999
0.375,0.2,0.5,1.0,0.41329999999999983,0.5767000000000001
0.375,0.225,0.5,1.0,0.4612,0.5288
0.375,0.25,0.5,1.0,0.46350000000000013,0.5265000000000001
0.375,0.275,0.5,1.0,0.4518,0.5382
0.375,0.3,0.5,1.0,0.48760000000000026,0.5024000000000002
0.375,0.325,0.5,1.0,0.44289999999999985,0.5471
0.375,0.35,0.5,1.0,0.4646999999999999,0.5253000000000001
0.375,0.375,0.5,1.0,0.4675000000000001,0.5225
0.375,0.4,0.5,1.0,0.44260000000000005,0.5474000000000001
0.375,0.425,0.5,1.0,0.462,0.5280000000000001
0.375,0.45,0.5,1.0,0.4532000000000002,0.5368000000000003
0.375,0.475,0.5,1.0,0.4611,0.5289000000000003
0.4,0.0,0.5,1.0,0.4877,0.5022999999999996
0.4,0.025,0.5,1.0,0.28740000000000004,0.7025999999999999
0.4,0.05,0.5,1.0,0.3235,0.6664999999999999
0.4,0.075,0.5,1.0,0.27330000000000004,0.7167
0.4,0.1,0.5,1.0,0.34650000000000014,0.6435000000000002
0.4,0.125,0.5,1.0,0.3734,0.6166000000000003
0.4,0.15,0.5,1.0,0.40350000000000014,0.5864999999999999
0.4,0.175,0.5,1.0,0.4175000000000001,0.5725000000000001
0.4,0.2,0.5,1.0,0.40800000000000003,0.5820000000000002
0.4,0.225,0.5,1.0,0.4171000000000001,0.5729
0.4,0.25,0.5,1.0,0.44399999999999984,0.5460000000000002
0.4,0.275,0.5,1.0,0.46929999999999994,0.5206999999999999
0.4,0.3,0.5,1.0,0.4335999999999999,0.5563999999999999
0.4,0.325,0.5,1.0,0.4814,0.5085999999999999
0.4,0.35,0.5,1.0,0.48949999999999977,0.5005
0.4,0.375,0.5,1.0,0.45819999999999994,0.5318
0.4,0.4,0.5,1.0,0.47420000000000023,0.5157999999999999
0.4,0.425,0.5,1.0,0.4837000000000002,0.5063000000000002
0.4,0.45,0.5,1.0,0.4685000000000001,0.5215
0.4,0.475,0.5,1.0,0.4685999999999999,0.5214000000000001
0.425,0.0,0.5,1.0,0.5352000000000001,0.4548000000000001
0.425,0.025,0.5,1.0,0.3071000000000001,0.6828999999999997
0.425,0.05,0.5,1.0,0.28570000000000007,0.7042999999999993
0.425,0.075,0.5,1.0,0.3074,0.6825999999999997
0.425,0.1,0.5,1.0,0.3345000000000001,0.6555
0.425,0.125,0.5,1.0,0.3967000000000001,0.5932999999999999
0.425,0.15,0.5,1.0,0.3785,0.6114999999999998
0.425,0.175,0.5,1.0,0.38540000000000013,0.6045999999999999
0.425,0.2,0.5,1.0,0.4307,0.5592999999999999
0.425,0.225,0.5,1.0,0.45400000000000007,0.5359999999999999
0.425,0.25,0.5,1.0,0.4236999999999999,0.5662999999999999
0.425,0.275,0.5,1.0,0.4199,0.5701000000000002
0.425,0.3,0.5,1.0,0.4569999999999998,0.5330000000000001
0.425,0.325,0.5,1.0,0.4737999999999999,0.5161999999999999
0.425,0.35,0.5,1.0,0.44569999999999993,0.5443
0.425,0.375,0.5,1.0,0.4516000000000001,0.5384000000000002
0.425,0.4,0.5,1.0,0.4815,0.5084999999999998
0.425,0.425,0.5,1.0,0.4806,0.5094000000000001
0.425,0.45,0.5,1.0,0.4678,0.5222000000000001
0.425,0.475,0.5,1.0,0.46840000000000015,0.5216000000000001
0.45,0.0,0.5,1.0,0.49439999999999995,0.4956000000000001
0.45,0.025,0.5,1.0,0.33990000000000004,0.6501
0.45,0.05,0.5,1.0,0.2701,0.7199
0.45,0.075,0.5,1.0,0.29950000000000004,0.6905000000000001
0.45,0.1,0.5,1.0,0.2991000000000001,0.6909000000000001
0.45,0.125,0.5,1.0,0.36829999999999985,0.6216999999999999
0.45,0.15,0.5,1.0,0.4028999999999999,0.5870999999999998
0.45,0.175,0.5,1.0,0.37279999999999985,0.6171999999999997
0.45,0.2,0.5,1.0,0.43089999999999995,0.5590999999999999
0.45,0.225,0.5,1.0,0.4226,0.5673999999999999
0.45,0.25,0.5,1.0,0.4091999999999998,0.5808
0.45,0.275,0.5,1.0,0.4661000000000001,0.5239
0.45,0.3,0.5,1.0,0.4314,0.5586
0.45,0.325,0.5,1.0,0.49439999999999984,0.4955999999999999
0.45,0.35,0.5,1.0,0.4686,0.5214
0.45,0.375,0.5,1.0,0.45059999999999995,0.5394
0.45,0.4,0.5,1.0,0.46599999999999997,0.5239999999999999
0.45,0.425,0.5,1.0,0.48529999999999995,0.5046999999999998
0.45,0.45,0.5,1.0,0.4744000000000002,0.5156000000000002
0.45,0.475,0.5,1.0,0.47409999999999997,0.5158999999999998
0.475,0.0,0.5,1.0,0.5342999999999999,0.45569999999999994
0.475,0.025,0.5,1.0,0.3478,0.6422
0.475,0.05,0.5,1.0,0.326,0.6639999999999999
0.475,0.075,0.5,1.0,0.3343,0.6557000000000002
0.475,0.1,0.5,1.0,0.3251000000000001,0.6648999999999999
0.475,0.125,0.5,1.0,0.34830000000000005,0.6416999999999998
0.475,0.15,0.5,1.0,0.3850000000000001,0.6050000000000001
0.475,0.175,0.5,1.0,0.4127,0.5773000000000004
0.475,0.2,0.5,1.0,0.4298000000000002,0.5601999999999999
0.475,0.225,0.5,1.0,0.42090000000000005,0.5691000000000002
0.475,0.25,0.5,1.0,0.46720000000000034,0.5228000000000003
0.475,0.275,0.5,1.0,0.4544999999999999,0.5354999999999996
0.475,0.3,0.5,1.0,0.45050000000000007,0.5395000000000003
0.475,0.325,0.5,1.0,0.4368,0.5532
0.475,0.35,0.5,1.0,0.4525,0.5374999999999999
0.475,0.375,0.5,1.0,0.45700000000000024,0.5330000000000001
0.475,0.4,0.5,1.0,0.44899999999999984,0.541
0.475,0.425,0.5,1.0,0.486,0.5040000000000002
0.475,0.45,0.5,1.0,0.46319999999999995,0.5268
0.475,0.475,0.5,1.0,0.48249999999999993,0.5074999999999997
